author,description,illustrator,image,introduceder,price,title,url
Alice Walker,"One of the greatest works of modern fiction, Alice Walker's Pulitzer Prize-winning novel The Color Purple is presented in a beautifully crafted new Folio edition, illustrated by British artist Lela Harris. ",Lela Harris,https://www.foliosociety.com/media/catalog/product/p/u/purp_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,47.95,The Color Purple,https://www.foliosociety.com/row/the-color-purple.html
Fyodor Dostoyevsky,"Seven of Fyodor Dostoyevsky’s greatest works of shorter fiction are presented in this striking new Folio Society collector’s edition, illustrated with Harry Brockway’s wood engravings and introduced by author Joyce Carol Oates. ",Harry Brockway,https://www.foliosociety.com/media/catalog/product/d/o/dost_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Joyce Carol Oates,60.0,The Best Short Stories of Fyodor Dostoyevsky,https://www.foliosociety.com/row/the-best-short-stories-of-fyodor-dostoevsky.html
George R. R. Martin,Discover the story of treachery and magic that began with the phenomenal A Game of Thrones. This lavish edition of George R. R. Martin’s A Feast for Crows is illustrated by Jonathan Burton.,Jonathan Burton,https://www.foliosociety.com/media/catalog/product/g/t/gt4_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,160.0,A Feast for Crows,https://www.foliosociety.com/row/a-feast-for-crows.html
John Wyndham,"The Day of the Triffids, The Midwich Cuckoos and The Chrysalids – three unforgettable science-fiction visions from John Wyndham. This Folio edition is illustrated by Patrick Leger and introduced by Adam Roberts.",Patrick Leger,https://www.foliosociety.com/media/catalog/product/w/y/wyn_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Adam Roberts,125.0,The Wyndham Collection,https://www.foliosociety.com/row/the-wyndham-collection.html
Roald Dahl,"Discover the fantastical worlds of The BFG, The Witches and Matilda in the second whizzpopping Folio Society set of much-loved Roald Dahl stories, featuring Quentin Blake’s iconic black-and-white illustrations and the classic texts.",Quentin Blake,https://www.foliosociety.com/media/catalog/product/q/r/qrd2_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Donald Sturrock,80.0,The Roald Dahl Collection (Set 2),https://www.foliosociety.com/row/the-roald-dahl-collection-set-2.html
Agatha Christie,A delectable collector’s edition of Agatha Christie’s Sparkling Cyanide joins the Folio Society crime library. With exquisite illustrations by Michael Philip Dunbabin.,Michael Philip Dunbabin,https://www.foliosociety.com/media/catalog/product/c/y/cyan_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,Sparkling Cyanide,https://www.foliosociety.com/row/sparkling-cyanide.html
H. P. Lovecraft,"This collection, spanning Lovecraft’s literary career, marries his best-known short stories with two modern masters of the macabre, the acclaimed artist Dan Hillier and author Alan Moore.",Dan Hillier,https://www.foliosociety.com/media/catalog/product/c/l/clu_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,S. T. Joshi,90.0,The Call of Cthulhu & Other Weird Stories,https://www.foliosociety.com/row/the-call-of-cthulhu-other-weird-stories-core.html
Kurt Vonnegut,It’s the end of the world as we know it … The Folio edition of Kurt Vonnegut’s Cat’s Cradle features illustrations by Joonho Ko and an introduction by Michael Dirda.,Joonho Ko,https://www.foliosociety.com/media/catalog/product/c/a/catc_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Michael Dirda,44.95,Cat’s Cradle,https://www.foliosociety.com/row/cat-s-cradle.html
Shirley Jackson,This lavish Folio edition of Shirley Jackson’s The Haunting of Hill House is illustrated by Angie Hoffmeister and introduced by Joyce Carol Oates.,Angie Hoffmeister,https://www.foliosociety.com/media/catalog/product/h/h/hhh_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Joyce Carol Oates,49.95,The Haunting of Hill House,https://www.foliosociety.com/row/the-haunting-of-hill-house.html
Gaston Leroux,"The vaults of the Paris Opéra hide a hideous secret, and it’s revealed with theatrical flourish in this lavish new Folio edition.",Taylor Dolan,https://www.foliosociety.com/media/catalog/product/p/h/pht_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Simon Callow,60.0,The Phantom of the Opera,https://www.foliosociety.com/row/the-phantom-of-the-opera.html
Richard Matheson,"I Am Legend, Richard Matheson’s brutal tale of survival and vampires, arrives in a spectacular Folio edition – illustrated by artist Dave McKean and introduced by a modern master of horror, Joe Hill.",Dave McKean,https://www.foliosociety.com/media/catalog/product/a/m/aml_bookshot.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Joe Hill,60.0,I Am Legend,https://www.foliosociety.com/row/i-am-legend.html
Douglas Adams,"Comparing Adams’s work to that of Kurt Vonnegut, Tom Stoppard and even Jonathan Swift, science-fiction writer Adam Roberts describes this novel as ‘that rare thing: a sequel that surpasses its original’.",Jonathan Burton,https://www.foliosociety.com/media/catalog/product/r/e/reu_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Adam Roberts,49.95,The Restaurant at the End of the Universe,https://www.foliosociety.com/row/the-restaurant-at-the-end-of-the-universe.html
Douglas Adams,"In the fourth volume of The Hitchhiker’s Guide to the Galaxy series, Arthur Dent finds a whole new set of mind-boggling mysteries to deal with when planet Earth appears not to have been destroyed after all.",Jonathan Burton,https://www.foliosociety.com/media/catalog/product/t/x/txf_1.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,49.95,"So Long, and Thanks for All the Fish",https://www.foliosociety.com/row/so-long-and-thanks-for-all-the-fish.html
Douglas Adams,"More inspired lunacy in the third of Adams’s ‘trilogy of five’, here introduced by his friend, the acclaimed comedy writer Jon Canter.",Jonathan Burton,https://www.foliosociety.com/media/catalog/product/l/u/lue_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Jon Canter,49.95,"Life, the Universe and Everything",https://www.foliosociety.com/row/life-a-the-universe-and-everything.html
Douglas Adams,"In the first in his ‘trilogy of five’, Douglas Adams introduces us Earthbound readers to Zaphod Beeblebrox, the Babel fish, Pan Galactic Gargle Blasters and Marvin the Paranoid Android.",Jonathan Burton,https://www.foliosociety.com/media/catalog/product/h/g/hgg.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Terry Jones,49.95,The Hitchhiker’s Guide to the Galaxy,https://www.foliosociety.com/row/the-hitchhiker-s-guide-to-the-galaxy.html
George R. R. Martin,A Clash of Kings arrives fresh from the battlefield. The second volume of The Folio Society’s bestselling realisation of George R. R. Martin’s fantasy masterpiece ‘A Song of Ice and Fire’ is illustrated by Jonathan Burton.,Jonathan Burton,https://www.foliosociety.com/media/catalog/product/g/t/gt2_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,160.0,A Clash of Kings,https://www.foliosociety.com/row/a-clash-of-kings.html
Ray Bradbury,"Comedian, writer and broadcaster Frank Skinner introduces the new Folio edition of Ray Bradbury’s dark fantasy masterpiece Something Wicked This Way Comes, with thrilling illustrations by artist Tim McDonagh.",Tim McDonagh,https://www.foliosociety.com/media/catalog/product/s/w/swk.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Frank Skinner,47.95,Something Wicked This Way Comes,https://www.foliosociety.com/row/something-wicked-this-way-comes.html
Philip Pullman,A magnificent Folio Society edition of a worldwide phenomenon. The award-winning trilogy His Dark Materials in a stunning fully illustrated hardback edition.,Peter Bailey,https://www.foliosociety.com/media/catalog/product/h/d/hdm_2.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,,175.0,His Dark Materials,https://www.foliosociety.com/row/his-dark-materials.html
Robin Hobb,"Strange magic and deadly conspiracies collide in Robin Hobb’s much-loved fantasy classic, ‘The Farseer Trilogy’. This special Folio Society edition features illustrations by David Palumbo.",David Palumbo,https://www.foliosociety.com/media/catalog/product/f/r/frt_book.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Robin Hobb,175.0,The Farseer Trilogy,https://www.foliosociety.com/row/the-farseer-trilogy.html
George R. R. Martin,A Game of Thrones is presented in a spectacular collector’s edition - the first release in the Folio Society series of George R. R. Martin’s ‘A Song of Ice and Fire’.,Jonathan Burton,https://www.foliosociety.com/media/catalog/product/g/o/got_book2.png?quality=80&fit=bounds&height=700&width=700&canvas=700:700,Joe Abercrombie,160.0,A Game of Thrones,https://www.foliosociety.com/row/a-game-of-thrones.html
